A US Equity,AGILENT TECHNOLOGIES INC,55.03,2219204
AA US Equity,ALCOA INC,13.32,19789546
AAN US Equity,AARON'S INC,31.49,1617844
AAP US Equity,ADVANCE AUTO PARTS INC,119.45,555860
AB US Equity,ALLIANCEBERNSTEIN HOLDING LP,24.42,310748
ABBV US Equity,ABBVIE INC,52.79,7023045
ABC US Equity,AMERISOURCEBERGEN CORP,64.54,1946748
ABT US Equity,ABBOTT LABORATORIES,38.69,4990223
ACC US Equity,AMERICAN CAMPUS COMMUNITIES,39.26,691244
ACE US Equity,ACE LTD,103.17,1630420
ACM US Equity,AECOM TECHNOLOGY CORP,31.56,860971
ACMP US Equity,ACCESS MIDSTREAM PARTNERS LP,59.07,480786
ACN US Equity,ACCENTURE PLC-CL A,78.21,3421816
ACT US Equity,ACTAVIS PLC,202,1947971
ADM US Equity,ARCHER-DANIELS-MIDLAND CO,44.27,4257124
ADS US Equity,ALLIANCE DATA SYSTEMS CORP,233.67,1385026
ADT US Equity,ADT CORP/THE,31.33,2395456
AEE US Equity,AMEREN CORPORATION,40.98,1634410
AEO US Equity,AMERICAN EAGLE OUTFITTERS,10.93,4682837
AEP US Equity,AMERICAN ELECTRIC POWER,53.5,3366799
AER US Equity,AERCAP HOLDINGS NV,48.03,1934857
AES US Equity,AES CORP,14.47,4398430
AET US Equity,AETNA INC,74.05,2698619
AFG US Equity,AMERICAN FINANCIAL GROUP INC,58.85,273329
AFL US Equity,AFLAC INC,62.59,1583730
AGCO US Equity,AGCO CORP,55.23,1218841
AGN US Equity,ALLERGAN INC,165.87,2455919
AGO US Equity,ASSURED GUARANTY LTD,23.98,2361494
AHL US Equity,ASPEN INSURANCE HOLDINGS LTD,46.31,647917
AIG US Equity,AMERICAN INTERNATIONAL GROUP,51.66,15405449
AIV US Equity,APARTMENT INVT & MGMT CO -A,31.79,880866
AIZ US Equity,ASSURANT INC,66.32,703166
AJG US Equity,ARTHUR J GALLAGHER & CO,44.64,1033825
AL US Equity,AIR LEASE CORP,37.41,925922
ALB US Equity,ALBEMARLE CORP,68.5,555778
ALE US Equity,ALLETE INC,51.23,203023
ALK US Equity,ALASKA AIR GROUP INC,94.07,676827
ALL US Equity,ALLSTATE CORP,57.82,3056490
ALLE US Equity,ALLEGION PLC,49.93,597954
ALLY US Equity,ALLY FINANCIAL INC,24.43,6174203
ALR US Equity,ALERE INC,35.25,723418
ALSN US Equity,ALLISON TRANSMISSION HOLDING,29.64,1494843
ALV US Equity,AUTOLIV INC,102.49,584894
AMC US Equity,AMC ENTERTAINMENT HLDS-CL A,22.02,203975
AMD US Equity,ADVANCED MICRO DEVICES,3.97,22381223
AME US Equity,AMETEK INC,53.02,1118766
AMG US Equity,AFFILIATED MANAGERS GROUP,196.04,416318
AMH US Equity,AMERICAN HOMES 4 RENT- A,16.97,2210079
AMP US Equity,AMERIPRISE FINANCIAL INC,111.58,1036872
AMT US Equity,AMERICAN TOWER CORP,88.35,2843333
AMTD US Equity,TD AMERITRADE HOLDING CORP,31.1,4450189
AN US Equity,AUTONATION INC,53.57,718875
ANF US Equity,ABERCROMBIE & FITCH CO-CL A,35.68,3057315
AOL US Equity,AOL INC,34.85,13846555
AON US Equity,AON PLC,86.36,2021703
AOS US Equity,SMITH (A.O.) CORP,46.61,683983
APA US Equity,APACHE CORP,87.76,3872491
APAM US Equity,ARTISAN PARTNERS ASSET MA -A,56.07,378306
APC US Equity,ANADARKO PETROLEUM CORP,101.9,5432138
APD US Equity,AIR PRODUCTS & CHEMICALS INC,119.92,717397
APH US Equity,AMPHENOL CORP-CL A,95.67,657718
APL US Equity,ATLAS PIPELINE PARTNERS LP,32.25,296300
APO US Equity,APOLLO GLOBAL MANAGEMENT - A,26.83,3277769
APU US Equity,AMERIGAS PARTNERS-LP,44.64,399570
AR US Equity,ANTERO RESOURCES CORP,66.58,904027
ARE US Equity,ALEXANDRIA REAL ESTATE EQUIT,74.77,494050
ARES US Equity,ARES MANAGEMENT LP,17.73,748787
ARG US Equity,AIRGAS INC,105.49,474883
ARMK US Equity,ARAMARK HOLDINGS CORP,27.52,252843
ARW US Equity,ARROW ELECTRONICS INC,54.7,882235
ASH US Equity,ASHLAND INC,102.5,686067
ATHL US Equity,ATHLON ENERGY INC,41.72,1537976
ATHM US Equity,AUTOHOME INC-ADR,29.43,1321278
ATI US Equity,ALLEGHENY TECHNOLOGIES INC,41.29,1155934
ATK US Equity,ALLIANT TECHSYSTEMS INC,153.58,319493
ATLS US Equity,ATLAS ENERGY LP,43.36,783787
ATO US Equity,ATMOS ENERGY CORP,51.59,730632
ATR US Equity,APTARGROUP INC,66.48,340069
ATU US Equity,ACTUANT CORP-A,33.98,583727
ATW US Equity,ATWOOD OCEANICS INC,47.93,552054
AVA US Equity,AVISTA CORP,32.59,471803
AVB US Equity,AVALONBAY COMMUNITIES INC,139.11,1047316
AVP US Equity,AVON PRODUCTS INC,13.34,3714513
AVT US Equity,AVNET INC,41.92,1152072
AVX US Equity,AVX CORP,13.16,252721
AVY US Equity,AVERY DENNISON CORP,48.86,925749
AWH US Equity,ALLIED WORLD ASSURANCE CO,110.61,160188
AWI US Equity,ARMSTRONG WORLD INDUSTRIES,51.88,796192
AWK US Equity,AMERICAN WATER WORKS CO INC,46.92,1073800
AXE US Equity,ANIXTER INTERNATIONAL INC,96.05,151564
AXLL US Equity,AXIALL CORP,43.98,1310095
AXP US Equity,AMERICAN EXPRESS CO,87.98,4601515
AXS US Equity,AXIS CAPITAL HOLDINGS LTD,45.44,1857263
AYI US Equity,ACUITY BRANDS INC,121.81,488247
AZO US Equity,AUTOZONE INC,524.6,143260
B US Equity,BARNES GROUP INC,37.64,229709
BA US Equity,BOEING CO/THE,130.35,2900669
BAC US Equity,BANK OF AMERICA CORP,14.8,91733037
BAH US Equity,BOOZ ALLEN HAMILTON HOLDINGS,24.01,513800
BAP US Equity,CREDICORP LTD,150.41,283661
BAX US Equity,BAXTER INTERNATIONAL INC,74.74,2904139
BBT US Equity,BB&T CORP,37.29,2903323
BBY US Equity,BEST BUY CO INC,25.25,2581907
BC US Equity,BRUNSWICK CORP,39.29,1151285
BCR US Equity,CR BARD INC,141.21,899071
BDC US Equity,BELDEN INC,70.75,654500
BDN US Equity,BRANDYWINE REALTY TRUST,15.27,814704
BDX US Equity,BECTON DICKINSON AND CO,115.34,926359
BEE US Equity,STRATEGIC HOTELS & RESORTS I,10.68,1541031
BEN US Equity,FRANKLIN RESOURCES INC,53.11,2321162
BERY US Equity,BERRY PLASTICS GROUP INC,23.09,1124045
BF/B US Equity,BROWN-FORMAN CORP-CLASS B,90.63,288774
BFAM US Equity,BRIGHT HORIZONS FAMILY SOLUT,39.54,199527
BG US Equity,BUNGE LTD,77.1,1394999
BHI US Equity,BAKER HUGHES INC,71.29,5553612
BID US Equity,SOTHEBY'S,41.55,1899434
BIG US Equity,BIG LOTS INC,38.88,728964
BIO US Equity,BIO-RAD LABORATORIES-A,120.94,123197
BIP US Equity,BROOKFIELD INFRASTRUCTURE PA,40.71,133870
BK US Equity,BANK OF NEW YORK MELLON CORP,34.3,4481884
BKD US Equity,BROOKDALE SENIOR LIVING INC,31.06,1964407
BKE US Equity,BUCKLE INC/THE,46.7,591383
BKH US Equity,BLACK HILLS CORP,58.64,245500
BKU US Equity,BANKUNITED INC,31.9,609611
BKW US Equity,BURGER KING WORLDWIDE INC,25.76,423511
BLK US Equity,BLACKROCK INC,299,611741
BLL US Equity,BALL CORP,57.86,1305746
BMR US Equity,BIOMED REALTY TRUST INC,21.05,1867581
BMS US Equity,BEMIS COMPANY,40.32,937593
BMY US Equity,BRISTOL-MYERS SQUIBB CO,50.77,9114319
BOH US Equity,BANK OF HAWAII CORP,55.42,374603
BPL US Equity,BUCKEYE PARTNERS LP,80.92,466307
BR US Equity,BROADRIDGE FINANCIAL SOLUTIO,38.61,614240
BRK/A US Equity,BERKSHIRE HATHAWAY INC-CL A,191550,538
BRO US Equity,BROWN & BROWN INC,29.33,1732939
BRS US Equity,BRISTOW GROUP INC,76.23,165141
BRX US Equity,BRIXMOR PROPERTY GROUP INC,22.64,468360
BSX US Equity,BOSTON SCIENTIFIC CORP,12.77,9748590
BTU US Equity,PEABODY ENERGY CORP,18.41,7363865
BURL US Equity,BURLINGTON STORES INC,27.44,429094
BWA US Equity,BORGWARNER INC,59.93,1003842
BWC US Equity,BABCOCK & WILCOX CO/THE,34.76,1364166
BWP US Equity,BOARDWALK PIPELINE PARTNERS,15.78,1860825
BX US Equity,BLACKSTONE GROUP LP/THE,28.6,14859362
BXP US Equity,BOSTON PROPERTIES INC,118.7,688598
BXS US Equity,BANCORPSOUTH INC,22.98,400350
BYI US Equity,BALLY TECHNOLOGIES INC,61.34,627820
C US Equity,CITIGROUP INC,46.7,17502520
CAB US Equity,CABELA'S INC,63.92,319227
CAG US Equity,CONAGRA FOODS INC,30.83,2308620
CAH US Equity,CARDINAL HEALTH INC,63.83,2357333
CAM US Equity,CAMERON INTERNATIONAL CORP,64.64,1377703
CAT US Equity,CATERPILLAR INC,104.62,3400839
CB US Equity,CHUBB CORP,93.46,1390234
CBG US Equity,CBRE GROUP INC - A,28.58,1873821
CBI US Equity,CHICAGO BRIDGE & IRON CO NV,79.91,720115
CBL US Equity,CBL & ASSOCIATES PROPERTIES,18.59,1685945
CBS US Equity,CBS CORP-CLASS B NON VOTING,56.65,7416779
CBSO US Equity,CBS OUTDOOR AMERICAS INC,29.71,1423570
CBT US Equity,CABOT CORP,58.59,487883
CCE US Equity,COCA-COLA ENTERPRISES,46.49,1087158
CCI US Equity,CROWN CASTLE INTL CORP,77.7,3237323
CCK US Equity,CROWN HOLDINGS INC,48.31,1346287
CCL US Equity,CARNIVAL CORP,39.26,2595093
CCO US Equity,CLEAR CHANNEL OUTDOOR-CL A,7.99,218422
CE US Equity,CELANESE CORP-SERIES A,60.71,1262506
CEB US Equity,CORPORATE EXECUTIVE BOARD CO,66.38,198580
CEQP US Equity,CRESTWOOD EQUITY PARTNERS LP,13.35,423797
CF US Equity,CF INDUSTRIES HOLDINGS INC,244.86,518911
CFN US Equity,CAREFUSION CORP,40.06,2051435
CFR US Equity,CULLEN/FROST BANKERS INC,75.64,372631
CFX US Equity,COLFAX CORP,73.83,601377
CHD US Equity,CHURCH & DWIGHT CO INC,68.04,948423
CHH US Equity,CHOICE HOTELS INTL INC,44.07,106980
CHK US Equity,CHESAPEAKE ENERGY CORP,29.61,18256645
CHMT US Equity,CHEMTURA CORP,24.4,1436940
CHS US Equity,CHICO'S FAS INC,15.51,1763448
CI US Equity,CIGNA CORP,85.37,2124944
CIE US Equity,COBALT INTERNATIONAL ENERGY,18.45,2351679
CIM US Equity,CHIMERA INVESTMENT CORP,3.09,2326597
CIT US Equity,CIT GROUP INC,42,2603447
CL US Equity,COLGATE-PALMOLIVE CO,67.23,2190966
CLB US Equity,CORE LABORATORIES N.V.,192.61,184292
CLC US Equity,CLARCOR INC,57.22,194677
CLF US Equity,CLIFFS NATURAL RESOURCES INC,17.86,2638198
CLGX US Equity,CORELOGIC INC,27.29,709959
CLH US Equity,CLEAN HARBORS INC,60.71,1354345
CLNY US Equity,COLONY FINANCIAL INC,21.35,509123
CLR US Equity,CONTINENTAL RESOURCES INC/OK,136.9,1933602
CLX US Equity,CLOROX COMPANY,87.87,1358450
CMA US Equity,COMERICA INC,47.69,1461013
CMC US Equity,COMMERCIAL METALS CO,19.04,907198
CMG US Equity,CHIPOTLE MEXICAN GRILL INC,500.83,571844
CMI US Equity,CUMMINS INC,149.56,1586450
CMLP US Equity,CRESTWOOD MIDSTREAM PARTNERS,21.99,417032
CMP US Equity,COMPASS MINERALS INTERNATION,92.59,338016
CMS US Equity,CMS ENERGY CORP,30.26,2750044
CNA US Equity,CNA FINANCIAL CORP,41.88,188662
CNC US Equity,CENTENE CORP,68.56,629900
CNHI US Equity,CNH INDUSTRIAL NV,11.6,775241
CNK US Equity,CINEMARK HOLDINGS INC,29.2,607047
CNL US Equity,CLECO CORPORATION,52.75,439099
CNO US Equity,CNO FINANCIAL GROUP INC,16.6,1411294
CNP US Equity,CENTERPOINT ENERGY INC,24.51,3346084
CNW US Equity,CON-WAY INC,44.52,616993
CNX US Equity,CONSOL ENERGY INC,43.87,2681589
COF US Equity,CAPITAL ONE FINANCIAL CORP,76.42,2835868
COG US Equity,CABOT OIL & GAS CORP,38.05,6844449
COH US Equity,COACH INC,42.01,9328220
COL US Equity,ROCKWELL COLLINS INC,79.81,1005232
COO US Equity,COOPER COS INC/THE,133.57,318365
COP US Equity,CONOCOPHILLIPS,78.11,7189262
COTY US Equity,COTY INC-CL A,15.88,525611
COV US Equity,COVIDIEN PLC,71.4,1720303
CPA US Equity,COPA HOLDINGS SA-CLASS A,132.27,653051
CPB US Equity,CAMPBELL SOUP CO,45.32,1017070
CPN US Equity,CALPINE CORP,23.5,5186376
CPT US Equity,CAMDEN PROPERTY TRUST,71.07,676112
CR US Equity,CRANE CO,73.25,475748
CRI US Equity,CARTER'S INC,72.04,461865
CRL US Equity,CHARLES RIVER LABORATORIES,52.29,1372364
CRM US Equity,SALESFORCE.COM INC,50.43,9040643
CRR US Equity,CARBO CERAMICS INC,138.97,229435
CRS US Equity,CARPENTER TECHNOLOGY,63.7,176980
CSC US Equity,COMPUTER SCIENCES CORP,58.02,883057
CSL US Equity,CARLISLE COS INC,83.77,291431
CST US Equity,CST BRANDS INC,31.64,761587
CSTM US Equity,CONSTELLIUM NV- CLASS A,30.57,308860
CSX US Equity,CSX CORP,28.06,4793514
CTL US Equity,CENTURYLINK INC,34.65,6623396
CUBE US Equity,CUBESMART,18.1,976576
CUZ US Equity,COUSINS PROPERTIES INC,11.7,1076235
CVA US Equity,COVANTA HOLDING CORP,18.81,5594713
CVC US Equity,CABLEVISION SYSTEMS-NY GRP-A,16.56,3271278
CVD US Equity,COVANCE INC,82.63,891591
CVG US Equity,CONVERGYS CORP,21.61,387801
CVI US Equity,CVR ENERGY INC,49.17,632758
CVRR US Equity,CVR REFINING LP,28.23,840333
CVS US Equity,CVS CAREMARK CORP,75.9,5480169
CVX US Equity,CHEVRON CORP,126.23,5436267
CW US Equity,CURTISS-WRIGHT CORP,67.75,218291
CWH US Equity,COMMONWEALTH REIT,25.77,3124796
CXO US Equity,CONCHO RESOURCES INC,134.6,1188991
CXP US Equity,COLUMBIA PROPERTY TRUST INC,28.49,1050738
CXW US Equity,CORRECTIONS CORP OF AMERICA,33.5,669560
CYH US Equity,COMMUNITY HEALTH SYSTEMS INC,37,4636103
CYN US Equity,CITY NATIONAL CORP,71.4,299790
CYT US Equity,CYTEC INDUSTRIES INC,98.04,210564
CZZ US Equity,COSAN LTD-CLASS A SHARES,12.25,1158187
D US Equity,DOMINION RESOURCES INC/VA,72.21,1942707
DAL US Equity,DELTA AIR LINES INC,38.24,10518652
DAN US Equity,DANA HOLDING CORP,21.07,1939287
DAR US Equity,DARLING INTERNATIONAL INC,19.85,1005948
DATA US Equity,TABLEAU SOFTWARE INC-CL A,56.36,4383236
DBD US Equity,DIEBOLD INC,36.45,967703
DCI US Equity,DONALDSON CO INC,42.3,431645
DCT US Equity,DCT INDUSTRIAL TRUST INC,7.71,6800519
DD US Equity,DU PONT (E.I.) DE NEMOURS,68.05,3330623
DDD US Equity,3D SYSTEMS CORP,49.11,3479305
DDR US Equity,DDR CORP,17.29,4181475
DDS US Equity,DILLARDS INC-CL A,94.52,392682
DE US Equity,DEERE & CO,94.53,2812835
DECK US Equity,DECKERS OUTDOOR CORP,76.33,705362
DEI US Equity,DOUGLAS EMMETT INC,27.66,1857662
DFS US Equity,DISCOVER FINANCIAL SERVICES,56.73,2353192
DG US Equity,DOLLAR GENERAL CORP,56.76,3648623
DGI US Equity,DIGITALGLOBE INC,32.03,786785
DGX US Equity,QUEST DIAGNOSTICS INC,55.9,3337624
DHI US Equity,DR HORTON INC,22.42,7110026
DHR US Equity,DANAHER CORP,72.81,3130488
DIS US Equity,WALT DISNEY CO/THE,80.29,11907798
DK US Equity,DELEK US HOLDINGS INC,32.27,742104
DKS US Equity,DICK'S SPORTING GOODS INC,51.25,861059
DLB US Equity,DOLBY LABORATORIES INC-CL A,39.01,567679
DLPH US Equity,DELPHI AUTOMOTIVE PLC,67.52,1158215
DLR US Equity,DIGITAL REALTY TRUST INC,55.79,2806483
DLX US Equity,DELUXE CORP,55.03,352377
DNB US Equity,DUN & BRADSTREET CORP,106.36,347699
DNP US Equity,DNP SELECT INCOME FUND INC,10.07,346447
DNR US Equity,DENBURY RESOURCES INC,17.3,6000323
DO US Equity,DIAMOND OFFSHORE DRILLING,52.61,1044502
DOV US Equity,DOVER CORP,85.96,799805
DOW US Equity,DOW CHEMICAL CO/THE,49.52,5097005
DPM US Equity,DCP MIDSTREAM PARTNERS LP,55.39,392299
DPS US Equity,DR PEPPER SNAPPLE GROUP INC,56.68,1385799
DPZ US Equity,DOMINO'S PIZZA INC,71.55,504827
DRC US Equity,DRESSER-RAND GROUP INC,61.79,542224
DRE US Equity,DUKE REALTY CORP,17.54,2823548
DRH US Equity,DIAMONDROCK HOSPITALITY CO,12.29,1608431
DRI US Equity,DARDEN RESTAURANTS INC,49.2,1331843
DRQ US Equity,DRIL-QUIP INC,114.19,209745
DSL US Equity,DOUBLELINE INCOME SOLUTIONS,21.97,265873
DST US Equity,DST SYSTEMS INC,89.84,618745
DSW US Equity,DSW INC-CLASS A,32.83,1753157
DTE US Equity,DTE ENERGY COMPANY,79.32,1152675
DUK US Equity,DUKE ENERGY CORP,73.82,2520169
DV US Equity,DEVRY EDUCATION GROUP INC,45,801139
DVA US Equity,DAVITA HEALTHCARE PARTNERS I,67.78,748994
DVN US Equity,DEVON ENERGY CORPORATION,73.06,8860707
DYN US Equity,DYNEGY INC,31,1449131
EAT US Equity,BRINKER INTERNATIONAL INC,49.08,561762
ECL US Equity,ECOLAB INC,105.11,813722
ED US Equity,CONSOLIDATED EDISON INC,57.8,1909446
EDU US Equity,NEW ORIENTAL EDUCATIO-SP ADR,22.88,2311591
EEP US Equity,ENBRIDGE ENERGY PARTNERS LP,29.97,587882
EEQ US Equity,ENBRIDGE ENERGY MANAGEMENT L,29.74,98282
EFX US Equity,EQUIFAX INC,71.07,459373
EGN US Equity,ENERGEN CORP,82.42,1264633
EGP US Equity,EASTGROUP PROPERTIES INC,62.55,237604
EIX US Equity,EDISON INTERNATIONAL,57.1,2626746
EL US Equity,ESTEE LAUDER COMPANIES-CL A,73.69,2356150
ELS US Equity,EQUITY LIFESTYLE PROPERTIES,43.18,326907
EMC US Equity,EMC CORP/MA,25.28,17121529
EME US Equity,EMCOR GROUP INC,45.34,263108
EMES US Equity,EMERGE ENERGY SERVICES LP,82.74,311277
EMN US Equity,EASTMAN CHEMICAL CO,86.41,798119
EMR US Equity,EMERSON ELECTRIC CO,67.2,2181227
ENBL US Equity,ENABLE MIDSTREAM PARTNERS LP,24.56,134994
ENH US Equity,ENDURANCE SPECIALTY HOLDINGS,52.72,640152
ENLC US Equity,ENLINK MIDSTREAM LLC,36.09,169969
ENLK US Equity,ENLINK MIDSTREAM PARTNERS LP,29.77,226117
ENR US Equity,ENERGIZER HOLDINGS INC,116.05,543668
ENS US Equity,ENERSYS,65.53,431042
EOG US Equity,EOG RESOURCES INC,104.79,5705837
EPB US Equity,EL PASO PIPELINE PARTNERS LP,33.84,506387
EPD US Equity,ENTERPRISE PRODUCTS PARTNERS,74.41,1258466
EPE US Equity,EP ENERGY CORP-CL A,19.76,381856
EPR US Equity,EPR PROPERTIES,53.71,265293
EQM US Equity,EQT MIDSTREAM PARTNERS LP,75.89,260995
EQR US Equity,EQUITY RESIDENTIAL,61.54,1575428
EQT US Equity,EQT CORP,108.73,1113472
EQY US Equity,EQUITY ONE INC,22.72,380844
ESL US Equity,ESTERLINE TECHNOLOGIES CORP,109.4,176725
ESS US Equity,ESSEX PROPERTY TRUST INC,179.61,417427
ESV US Equity,ENSCO PLC-CL A,51.5,1794537
ETE US Equity,ENERGY TRANSFER EQUITY LP,49.43,3005543
ETN US Equity,EATON CORP PLC,72.5,2355785
ETP US Equity,ENERGY TRANSFER PARTNERS LP,58.17,2121735
ETR US Equity,ENTERGY CORP,75.16,2693749
EV US Equity,EATON VANCE CORP,36.32,637368
EVER US Equity,EVERBANK FINANCIAL CORP,18.81,1143920
